ID	S002_FU3	S002_FU4	S002_FU5	S013_FU1	S013_FU2	S013_FU3	S017_BL	S017_FU1	S017_FU2	S020_NTS1	S020_FU4	S020_FU5	S029_BL	S029_FU1	S029_FU2	S007_BL	S007_FU1	S007_FU2	S007_NTS1	S007_FU3	S007_FU5	S008_FU1	S008_FU2	S008_FU3	S009_BL	S009_FU1	S009_FU2	S009_FU3	S009_FU4	S019_BL	S019_FU1	S019_FU2	S019_FU3	S019_FU4
cg00002033	0.374035429	0.35975124	0.432795901	0.273366538	0.56041374	0.263256778	0.544966963	0.395832322	0.404793582	0.260556259	0.285978806	0.341558499	0.896704871	0.680346238	0.716286553	0.339426721	0.221067296	0.369034223	0.431796086	0.201473297	0.255047336	0.806839637	0.727102874	0.738081336	0.859536376	0.734568748	0.740808355	0.482647807	0.605897638	0.630206363	0.74801765	0.56952556	0.675546396	0.689442479
cg00008629	0.211966368	0.270812624	0.264131986	0.592124003	0.354908531	0.340848412	0.294648095	0.427088334	0.259623372	0.21015128	0.130332256	0.161204108	0.402846684	0.515494062	0.463866731	0.501513863	0.663162121	0.370597022	0.280842463	0.537278708	0.516777991	0.359814562	0.317683403	0.318048779	0.52882493	0.532278944	0.489705677	0.521942658	0.44302734	0.654866806	0.412965145	0.53986941	0.665243267	0.593441012
cg00010445	0.116656307	0.205448948	0.183343263	0.117108077	0.255825538	0.067050974	0.045236951	0.068947052	0.094565686	0.145114129	0.097894938	0.134113932	0.162664699	0.069714732	0.097346433	0.303831186	0.114977708	0.199560811	0.266925225	0.081825622	0.124435113	0.201171132	0.194549289	0.157854512	0.056396412	0.066304117	0.117956458	0.094603832	0.126451204	0.275365579	0.195990447	0.185095678	0.355008166	0.376418952
cg00018606	0.103496572	0.10803105	0.065935208	0.110380626	0.114939941	0.061606626	0.065307579	0.090873118	0.055922559	0.052468431	0.072189167	0.119626201	0.062065397	0.078034803	0.105678008	0.090218343	0.129425567	0.080511397	0.126823275	0.064868573	0.066608234	0.267882525	0.446252757	0.214664554	0.04189246	0.057861665	0.083312829	0.112135903	0.147648095	0.361698421	0.112250535	0.323042166	0.57313515	0.606179533
cg00020799	0.827931357	0.857074806	0.862107183	0.828586281	0.855082752	0.871109569	0.85518089	0.832735669	0.887162414	0.880188184	0.867727084	0.852779652	0.885746294	0.840598135	0.873162629	0.908805703	0.915613298	0.903434074	0.873178799	0.901217999	0.869532269	0.538186483	0.576552495	0.765978555	0.891017048	0.851526756	0.85588974	0.829051698	0.850801082	0.557066972	0.907994912	0.742348161	0.391763261	0.401822933
cg00037457	0.145377008	0.314762055	0.183884099	0.232706871	0.257707975	0.079358811	0.105697643	0.105084181	0.15917729	0.163639061	0.059768302	0.085032421	0.25645145	0.28693251	0.195601865	0.500573569	0.064169929	0.326168396	0.395309001	0.232018991	0.263328031	0.41907484	0.597847675	0.268234322	0.184788186	0.166600903	0.199747503	0.204869676	0.300264277	0.647498672	0.342200435	0.556087064	0.799530031	0.800417183
cg00042837	0.114610402	0.136019628	0.05736196	0.047615711	0.110588969	0.17811291	0.134534132	0.154223305	0.172960963	0.139510201	0.134280693	0.123343072	0.047820364	0.211153029	0.102918606	0.149243419	0.203006616	0.060703258	0.04776575	0.126671004	0.104400447	0.221433957	0.326988154	0.211322117	0.034721077	0.097519704	0.147184654	0.055455364	0.165686895	0.346719808	0.061357136	0.20698818	0.380061737	0.381203453
cg00067720	0.282300963	0.390336499	0.40463321	0.216260597	0.474001744	0.306391565	0.091086648	0.221153065	0.225946085	0.274000076	0.104423112	0.196060593	0.309859568	0.269498306	0.351859436	0.527841752	0.249007056	0.372946836	0.465134685	0.259156995	0.119789284	0.434317464	0.450468948	0.308486724	0.068678021	0.271842678	0.341684896	0.289320656	0.266940413	0.38613498	0.331603033	0.295522118	0.479416407	0.426829831
cg00067884	0.881977706	0.843030978	0.893265312	0.84197879	0.873954391	0.836787957	0.889261612	0.902003718	0.895067645	0.898923435	0.877319051	0.8620674	0.904586826	0.806444904	0.874534138	0.896187107	0.860524512	0.907460519	0.919152617	0.894381372	0.895401489	0.7920982	0.7286497	0.845809086	0.904510809	0.899928009	0.894764369	0.867038715	0.881970304	0.803953966	0.915216507	0.861357559	0.713674362	0.714021126
cg00068038	0.095059618	0.112785716	0.076443786	0.070740795	0.078924052	0.068491708	0.099074547	0.067395191	0.086667271	0.083505938	0.134176227	0.113402338	0.067912571	0.09475449	0.086649233	0.120249827	0.101103609	0.053347004	0.049550509	0.077745465	0.09016804	0.250731041	0.465057012	0.20816154	0.065669154	0.110418987	0.097126336	0.081016393	0.248758234	0.393000847	0.081410556	0.248394293	0.519701524	0.577005039
cg00069391	0.586708083	0.577597736	0.701691099	0.650461325	0.699379433	0.630681697	0.700696633	0.643845288	0.611942029	0.626238058	0.56703682	0.610369872	0.741115047	0.33683825	0.601036109	0.559658368	0.395653833	0.766803765	0.658562429	0.677713145	0.536056984	0.643258426	0.341388288	0.461509704	0.703980232	0.729904575	0.663378678	0.617431477	0.597038335	0.41289197	0.653722408	0.634584451	0.479245049	0.380562029
cg00073837	0.165142364	0.223746892	0.135354284	0.064309721	0.18575444	0.057029334	0.104689462	0.101969426	0.047106442	0.078652884	0.139063364	0.085287993	0.139405399	0.128646303	0.154802952	0.0282225	0.098700423	0.138927596	0.16689566	0.086630753	0.117198247	0.353100247	0.436222979	0.257689048	0.136791581	0.120357492	0.111952517	0.085706895	0.22520314	0.43789748	0.146526616	0.325342448	0.501498367	0.509347562
cg00077904	0.844480075	0.889549159	0.867116244	0.764421944	0.826263738	0.666296007	0.757915934	0.768450379	0.795595312	0.825535784	0.735108086	0.800667364	0.859318694	0.855209622	0.850054756	0.747544282	0.655813511	0.852057087	0.821041526	0.820816529	0.859157591	0.82855746	0.755508228	0.739236542	0.873153458	0.8505831	0.848357075	0.795554858	0.829172693	0.740182907	0.804133278	0.820897804	0.845404612	0.825460833
cg00078318	0.073148168	0.131497558	0.037072396	0.04623252	0.062612097	0.039598919	0.071675568	0.048516119	0.051288921	0.053753334	0.018736725	0.044939637	0.054867929	0.02583212	0.086881826	0.078294354	0.065793354	0.074991476	0.067495446	0.057806331	0.046219582	0.217061721	0.34319223	0.142737918	0.03903189	0.080954084	0.044480317	0.11781548	0.075694907	0.171979304	0.102592632	0.11781456	0.198541411	0.208042245
cg00086346	0.547835379	0.473850212	0.63087514	0.708318801	0.72257768	0.692384478	0.786837758	0.718798106	0.787524336	0.716555048	0.645935659	0.669635623	0.728693702	0.826476875	0.72242285	0.781156562	0.668011133	0.732897644	0.629558944	0.732060224	0.769036199	0.612199571	0.554912303	0.576327496	0.688920108	0.673163516	0.686767353	0.549161584	0.668294237	0.487367154	0.590301195	0.524820883	0.38836192	0.382496194
cg00090261	0.165114934	0.218590893	0.093697069	0.153285418	0.117168429	0.123272852	0.109182896	0.097844157	0.102273051	0.125731859	0.08304	0.104163091	0.107520524	0.065366258	0.153911613	0.12992716	0.127846614	0.132954134	0.191672042	0.09435296	0.057036503	0.347616904	0.428984335	0.286848026	0.059677126	0.117945718	0.074110698	0.041603067	0.240609602	0.483280721	0.173194922	0.443654278	0.545668119	0.535248876
cg00090787	0.769743462	0.759250425	0.741731389	0.738223357	0.656696894	0.831471463	0.789272611	0.779320129	0.850226664	0.737355892	0.707324174	0.707438593	0.760059542	0.853745115	0.799817439	0.630995812	0.76001004	0.704401043	0.628619015	0.741420575	0.72220565	0.666478537	0.704593937	0.785831619	0.834201337	0.820977586	0.835225292	0.723693898	0.768033521	0.672024809	0.699992725	0.756285798	0.598077695	0.585548061
cg00093643	0.339615617	0.372877482	0.265096011	0.21804912	0.466365039	0.143729427	0.252900968	0.327462023	0.212626447	0.426853092	0.227065383	0.344229408	0.325042511	0.181902822	0.262154466	0.370181699	0.458644373	0.353847906	0.468096697	0.198914505	0.277594056	0.466444823	0.456810576	0.32247627	0.303515548	0.289708833	0.271645612	0.200630295	0.295395989	0.293315869	0.407078616	0.213526394	0.457936729	0.560510566
cg00099393	0.062648671	0.148317118	0.077291987	0.080706651	0.050569428	0.061077541	0.054459141	0.043977464	0.071375604	0.064844854	0.075096458	0.057774426	0.047028237	0.049397104	0.085681763	0.166135919	0.103499167	0.049803518	0.051908637	0.077637879	0.061576494	0.268340515	0.380072232	0.19971621	0.054684423	0.051473986	0.071203241	0.093397911	0.238333276	0.269749676	0.079919476	0.169939228	0.412290892	0.356897338
cg00116092	0.08950838	0.106236504	0.121024339	0.073136437	0.226419987	0.127573985	0.160577422	0.127231008	0.140929863	0.126596689	0.091887482	0.160572233	0.108339266	0.062535021	0.129057776	0.245947188	0.228166051	0.179846828	0.198621653	0.102128696	0.08822315	0.307878832	0.442025979	0.195616081	0.079415634	0.057070934	0.11139846	0.259904812	0.156221929	0.333899618	0.146073415	0.313769757	0.505044587	0.57593689
cg00117914	0.866238724	0.879363212	0.88697096	0.907350717	0.915697102	0.90028729	0.915286328	0.897646711	0.90186804	0.90825697	0.918164579	0.87807955	0.89791517	0.891370968	0.872683856	0.92119981	0.907224758	0.912676522	0.891339254	0.912594881	0.904350431	0.788719212	0.747198068	0.829673561	0.901696448	0.888970582	0.911099114	0.88635768	0.864270813	0.777710901	0.91805986	0.79931732	0.617346945	0.634890429
cg00118989	0.54352308	0.501152116	0.492982456	0.439971944	0.352046637	0.512871638	0.512647635	0.492609508	0.550626196	0.29097843	0.330773526	0.378708283	0.507478378	0.603800716	0.525251344	0.648146284	0.449201779	0.540305741	0.470777003	0.642051816	0.581868552	0.325012186	0.285412322	0.29103919	0.507742694	0.578243771	0.455360071	0.503069281	0.424747831	0.444329305	0.387465709	0.410172525	0.288070991	0.232693671
cg00123055	0.081651464	0.210988926	0.027740202	0.022582194	0.04383642	0.02403323	0.049794378	0.034444754	0.027593345	0.026134081	0.027231107	0.046187064	0.040859124	0.160346694	0.044906451	0.073942539	0.020575369	0.063077805	0.08661953	0.021902085	0.036058895	0.286692394	0.325021216	0.183032459	0.036241863	0.079446986	0.046050323	0.029490065	0.120219495	0.461780898	0.085840513	0.412467103	0.496696112	0.47469199
cg00151370	0.336446423	0.366144598	0.235363537	0.666902884	0.353348798	0.648081902	0.527528026	0.707261004	0.592974246	0.542068534	0.636673053	0.50484183	0.252494201	0.509396791	0.465126177	0.48611521	0.700581019	0.205835436	0.221190293	0.386214431	0.369657814	0.454334132	0.712562251	0.658089257	0.316064587	0.493273191	0.415019507	0.323555483	0.544142846	0.652463361	0.388797391	0.591610205	0.759532069	0.717363877
