	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
cg01725474	0.900768292	0.878787069	0.744850531	0.874695177	0.709227197	0.783613776	0.815750544	0.843294827	0.811264908	0.570483476	0.913911055	0.808958907	0.809264118	0.876062195	0.86919806	0.750031999	0.695020294	0.823256985	0.788899068	0.646239305	0.813179489	0.868945584
cg20980653	0.746058091	0.472307517	0.73227293	0.519950832	0.70719323	0.61852318	0.678806182	0.636265191	0.783923383	0.68699745	0.605483466	0.629953805	0.749540863	0.599835998	0.586766031	0.373904179	0.753559372	0.736208971	0.767048554	0.726119091	0.779484482	0.392731852
cg19015611	0.853814291	0.847873264	0.814949037	0.785789363	0.823769764	0.782676755	0.851317214	0.856439803	0.882383353	0.879161529	0.854090074	0.737468672	0.823542211	0.848488901	0.834345756	0.845432241	0.783068783	0.809953882	0.779774596	0.6908485	0.757582009	0.757118612
cg03992651	0.209144569	0.310962145	0.309564818	0.481771197	0.253268679	0.389540338	0.222768084	0.217560976	0.262478185	0.313167571	0.182087343	0.577670709	0.167548233	0.234214892	0.255499169	0.195720185	0.307045961	0.431318351	0.338793511	0.290617422	0.509232867	0.618979987
cg15842208	0.552928533	0.587953015	0.777577035	0.73791027	0.649865297	0.741137493	0.695559863	0.531741842	0.766855992	0.54949067	0.751177429	0.730546861	0.712037731	0.696396773	0.799081834	0.75859778	0.690069477	0.690950261	0.743658139	0.721314765	0.733248355	0.800624563
cg17117243	0.482638889	0.587481698	0.297264438	0.452341598	0.501147666	0.533771107	0.401412974	0.47118075	0.440383737	0.440265487	0.37006237	0.580829213	0.480424685	0.497636732	0.726864201	0.603174603	0.476219512	0.458937198	0.495694957	0.46581876	0.515210991	0.57381325
cg27600804	0.693234239	0.375961738	0.414803775	0.496296309	0.76927524	0.793361884	0.423452769	0.834361146	0.285035431	0.374930875	0.637776243	0.673665224	0.75694996	0.783208467	0.761868005	0.48633185	0.795302589	0.236181226	0.947443029	0.648256487	0.58034608	0.373232369
cg18943033	0.728766299	0.763298213	0.698192893	0.722878469	0.685852598	0.677433557	0.745551031	0.68127786	0.684282666	0.659103779	0.707811527	0.693034754	0.611908821	0.746040435	0.744943004	0.548556261	0.710316959	0.679637204	0.668498874	0.669314935	0.703279939	0.70496226
cg07520506	0.209880428	0.620987228	0.210861865	0.182795699	0.23799412	0.162570888	0.589424572	0.428964974	0.25318207	0.499183673	0.161884768	0.136	0.259193145	0.188188976	0.281515214	0.406316537	0.326541275	0.212362144	0.688687392	0.317640973	0.219639935	0.135524735
cg14345012	0.080874511	0.111875648	0.184160172	0.106885104	0.299941156	0.089225516	0.115956483	0.127474551	0.125945746	0.150833676	0.202185357	0.183978009	0.313343973	0.119942061	0.187355369	0.320454769	0.169607477	0.133322016	0.153668458	0.162236167	0.473812425	0.0687744
