	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
cg01725474	0.828798368	0.902064632	0.879639409	0.892209873	0.842427993	0.892838594	0.835833886	0.79452884	0.753905608	0.855138924	0.849605219	0.859964958	0.879114841	0.85224107	0.759312841	0.81171894	0.82185264	0.873655879	0.75873462	0.847316803	0.827959113	0.791318557
cg20980653	0.46981842	0.81163174	0.614179459	0.65691906	0.652591894	0.600185816	0.713444322	0.800882453	0.684188968	0.720151669	0.610247795	0.534440309	0.612331912	0.733221005	0.689145072	0.582978723	0.591487586	0.747200796	0.562505633	0.567292886	0.689054275	0.741279428
cg19015611	0.81654101	0.862390453	0.844044747	0.851133698	0.804437759	0.858580899	0.694920738	0.856864111	0.88890566	0.774740811	0.792189076	0.797749648	0.809508356	0.811458333	0.844950434	0.82452299	0.859871563	0.767952128	0.787085811	0.803103147	0.681399246	0.704948178
cg03992651	0.359206685	0.447121604	0.153146217	0.140317293	0.554218427	0.319473189	0.616806484	0.336706051	0.246619794	0.481022638	0.390472838	0.487115732	0.363497747	0.265321564	0.436012721	0.402760896	0.183725794	0.361628411	0.406575696	0.394923414	0.463766028	0.535060976
cg15842208	0.779339029	0.633989378	0.665679012	0.776286353	0.759577701	0.747524384	0.774561538	0.700698952	0.60082272	0.756666408	0.730240851	0.749088296	0.8013703	0.725973431	0.752321981	0.781450844	0.803359072	0.762359092	0.768839493	0.759014009	0.641442404	0.75372142
cg17117243	0.433261572	0.455919395	0.452380952	0.347959969	0.465104167	0.429866412	0.573668068	0.474121094	0.41027088	0.433831991	0.477009024	0.437593423	0.407872697	0.442298167	0.467188179	0.494415808	0.4869326	0.488074957	0.564700704	0.436940966	0.632142857	0.423771525
cg27600804	0.528062764	0.404306902	0.450127877	0.62911084	0.861777586	0.784983756	0.652010376	0.617424646	0.492834938	0.777544765	0.742678739	0.613362014	0.714656216	0.790211771	0.503467406	0.832769398	0.594074322	0.805546421	0.723917442	0.703856321	0.540119886	0.692869251
cg18943033	0.645442629	0.767622174	0.776847714	0.749378704	0.67132115	0.716269175	0.712562898	0.712084944	0.692087774	0.709153845	0.657061456	0.680566275	0.722240609	0.748578223	0.734022948	0.724284813	0.735239988	0.727058397	0.690380289	0.75399657	0.734320793	0.597367051
cg07520506	0.191176471	0.186706073	0.331538462	0.54138374	0.114857048	0.178949358	0.224305997	0.1218509	0.227163724	0.150894753	0.189868523	0.172600759	0.239516572	0.499825052	0.221770092	0.478383247	0.274899329	0.152081251	0.174228675	0.184876451	0.133691911	0.13917303
cg14345012	0.225914551	0.125565821	0.139363558	0.206752447	0.073985028	0.143196558	0.262172409	0.145032208	0.096522493	0.11992178	0.116503226	0.165036919	0.166137366	0.218559948	0.369987107	0.396862517	0.112972037	0.112233681	0.181182557	0.209150638	0.107301466	0.470178161
cg05109780	0.520555767	0.595143792	0.590485532	0.401521555	0.547090768	0.528179741	0.692127825	0.644230769	0.437871228	0.665257968	0.634938102	0.658078061	0.630870747	0.668310892	0.554682384	0.593091408	0.662896264	0.658185841	0.579021879	0.571965947	0.717304397	0.410544146
cg09010156	0.648129424	0.50625	0.68880597	0.549033149	0.56460177	0.538974017	0.790740401	0.525088697	0.61781889	0.593029792	0.598792062	0.588086643	0.594121763	0.558023572	0.505583365	0.564085882	0.524158126	0.707709171	0.599708171	0.569285084	0.594254937	0.572365724
cg21554399	0.907849344	0.934871409	0.870441368	0.963658953	0.907447015	0.883194598	0.857412819	0.866356277	0.858590598	0.963624742	0.916468396	0.907201862	0.848945409	0.876313793	0.814829951	0.843377166	0.93813566	0.917416506	0.905997057	0.912675888	0.867738709	0.928299097
cg16703135	0.504609082	0.599640645	0.477675105	0.081818839	0.345029416	0.330372199	0.458261541	0.552500697	0.40924978	0.268764907	0.310640985	0.578823233	0.493717582	0.44243823	0.656321714	0.420109931	0.220600425	0.300956586	0.543576877	0.390238613	0.414926776	0.103850812
cg25542559	0.580995187	0.648048994	0.573766131	0.463142277	0.648766234	0.53010604	0.671940784	0.471910524	0.577740041	0.626766908	0.587649914	0.694005437	0.593316332	0.639762807	0.60372369	0.627312166	0.634702016	0.508142856	0.64943469	0.575099155	0.644567843	0.529032548
cg25198255	0.454505591	0.38028169	0.459709379	0.428490352	0.319946452	0.349469373	0.582995951	0.419775015	0.361097965	0.367600487	0.448012846	0.399883473	0.472010178	0.442944085	0.436800663	0.384920635	0.340562071	0.427206725	0.372762233	0.394771455	0.398954464	0.373001417
cg18105139	0.233341219	0.741149087	0.068199532	0.372162975	0.082604563	0.057449857	0.284932593	0.309608541	0.171425409	0.055073089	0.035302646	0.326209956	0.226858072	0.084781838	0.20176586	0.20800323	0.075862069	0.062139702	0.318472768	0.252247009	0.180214971	0.042216024
cg10505257	0.515733032	0.872688318	0.702672718	0.608619173	0.838372093	0.622587065	0.612522349	0.676967616	0.738176833	0.59818235	0.584268527	0.732723635	0.708287776	0.797692651	0.766467472	0.632418574	0.605525657	0.639716267	0.855536492	0.51597839	0.802234655	0.442663539
cg12114260	0.774722963	0.889844307	0.745162042	0.909570828	0.877366213	0.907058426	0.837616557	0.846876314	0.882127493	0.842110812	0.837310897	0.862550251	0.832399982	0.833982491	0.825345665	0.893239428	0.901205604	0.864458006	0.769066165	0.683020458	0.841110815	0.544459946
cg08617970	0.873805677	0.732702925	0.371864145	0.513715711	0.900198391	0.891979434	0.883066188	0.873718165	0.927194126	0.905876832	0.87966868	0.917058991	0.82624762	0.868113668	0.890303489	0.89313479	0.92165503	0.91379162	0.884713692	0.917282989	0.921583245	0.939024747
cg04205664	0.252407153	0.150752989	0.123474959	0.098989022	0.210693031	0.250736059	0.425866524	0.256484879	0.102572581	0.222505153	0.290274526	0.214777337	0.290811512	0.233061553	0.24060529	0.304331591	0.103633462	0.151784919	0.168524388	0.196421183	0.2225844	0.2327997
cg10050487	0.514698022	0.316680317	0.348424069	0.329403606	0.483095155	0.382947368	0.536866736	0.366784038	0.444386286	0.535693473	0.476056338	0.637042197	0.544073773	0.504854369	0.280730897	0.545301637	0.546198055	0.407993475	0.499204033	0.473766153	0.335767312	0.39436346
cg00090261	0.060951136	0.077181038	0.104226454	0.107317808	0.101996886	0.177990105	0.153944175	0.118925151	0.071573872	0.114969793	0.121210948	0.138615844	0.0927007	0.090949901	0.232811791	0.093015995	0.134412458	0.09186662	0.105355174	0.075601375	0.185009166	0.069734618
cg26503073	0.293115704	0.07631122	0.267723022	0.059561463	0.164508504	0.109280276	0.192661778	0.120294369	0.076428735	0.076984299	0.262900945	0.296152242	0.133885039	0.080160071	0.259487773	0.08991034	0.093696439	0.181909234	0.078141771	0.156003113	0.162902097	0.063906732
cg23578346	0.384981685	0.141924959	0.453357368	0.436039099	0.401557819	0.331757576	0.265004496	0.121257786	0.248809902	0.173547401	0.223327751	0.409655424	0.352331139	0.135128519	0.382077462	0.252801241	0.411213494	0.255331468	0.254695454	0.378368298	0.471827083	0.290109475
cg12217400	0.039136869	0.028307606	0.066448687	0.30553542	0.039385166	0.157162971	0.053639449	0.052028522	0.031913519	0.037517281	0.03648735	0.042617393	0.041404862	0.075517506	0.061778437	0.040313508	0.025171939	0.045152218	0.044242502	0.045973237	0.052146792	0.036756638
cg18356785	0.818258309	0.83134148	0.895007132	0.220399621	0.600592748	0.789897511	0.947403601	0.868874951	0.574906367	0.666831578	0.774238923	0.951804311	0.776044204	0.735637537	0.697847013	0.474854159	0.843109079	0.781425365	0.931493965	0.917194805	0.92142692	0.955878788
cg01178680	0.155329474	0.019672944	0.044689451	0.032336297	0.079698258	0.041928721	0.15887936	0.080952576	0.254690165	0.022829132	0.093709397	0.217256747	0.303930513	0.175517663	0.126959485	0.098448742	0.052253356	0.040143603	0.068286052	0.083829062	0.061987824	0.117064001
cg23021796	0.290190736	0.382527566	0.435028249	0.368600683	0.205921938	0.324914676	0.095929405	0.237416107	0.348890154	0.292271663	0.164364641	0.363953895	0.193768997	0.37182448	0.291693918	0.239471107	0.306203756	0.296405421	0.378362908	0.259893455	0.220384443	0.267899478
cg12602945	0.698411357	0.46553842	0.688216155	0.725451299	0.7020286	0.600603099	0.66784504	0.599731621	0.669995409	0.704020619	0.712689678	0.676170607	0.709714373	0.732205779	0.682293138	0.671309192	0.781407035	0.628420512	0.500129938	0.770083747	0.507104986	0.576765841
cg20801476	0.225999782	0.137869293	0.365896667	0.173297966	0.254380665	0.182311449	0.232530224	0.051243615	0.126460685	0.168087301	0.130485726	0.416738996	0.18392465	0.507388501	0.235340909	0.299362041	0.354826914	0.411688058	0.109123435	0.226638391	0.114909018	0.487495178
cg06708634	0.266231115	0.186650775	0.40456621	0.540901503	0.233613445	0.542413863	0.33088033	0.509296994	0.558305212	0.264616167	0.196247241	0.304561201	0.429735234	0.390270746	0.276651406	0.244758821	0.341914722	0.536576309	0.222761859	0.319070081	0.148026765	0.20035461
cg02354658	0.34203789	0.277777778	0.344589938	0.254139073	0.22336931	0.451735358	0.25	0.423139598	0.436266667	0.296437055	0.363483382	0.461126689	0.358695652	0.419218088	0.396867838	0.249076967	0.355831853	0.350515464	0.229416168	0.311270983	0.302269044	0.204996578
cg12640000	0.168429786	0.172429481	0.22875569	0.245264207	0.168324556	0.161430734	0.168122929	0.223546945	0.161008403	0.148363636	0.145631068	0.194117156	0.171594841	0.117528049	0.139041217	0.153825248	0.155050901	0.096651927	0.130393743	0.163588391	0.191997347	0.160612245
cg09099868	0.438348416	0.389930898	0.383333333	0.433777778	0.587802768	0.303961749	0.57266881	0.259287629	0.309694794	0.442722117	0.332222592	0.443757726	0.610675808	0.488393264	0.444794953	0.413414172	0.241296519	0.536825726	0.231753718	0.298134328	0.465982516	0.310864745
cg12334990	0.476683938	0.506613226	0.359773371	0.390585879	0.463875205	0.430971993	0.568380083	0.506932409	0.434865173	0.41900161	0.508096548	0.498722317	0.488746874	0.486292835	0.472767419	0.459530026	0.392366412	0.557531663	0.505169443	0.360054813	0.445998699	0.305450892
cg10203223	0.555092425	0.583305056	0.631962141	0.488211616	0.590237467	0.58621988	0.572056545	0.525629249	0.604284977	0.602932193	0.502564854	0.486431802	0.43827236	0.55492501	0.389517079	0.695267176	0.531470231	0.58803312	0.67206057	0.482693119	0.512098428	0.507151515
cg22800233	0.631004626	0.713477537	0.651482377	0.420495868	0.349342816	0.678204924	0.549998938	0.538836508	0.500681373	0.553181215	0.566916283	0.53334421	0.548197474	0.53721745	0.447824892	0.504404517	0.669471284	0.578824229	0.613557709	0.490890778	0.466206491	0.717800473
cg27177554	0.150731261	0.143361582	0.264011799	0.146287675	0.120630462	0.437536501	0.226208626	0.152325581	0.240670571	0.104372064	0.154328457	0.19590689	0.171744783	0.160770713	0.138665132	0.216566713	0.168205289	0.134845709	0.117288854	0.089800613	0.17781155	0.136764706
cg07780348	0.338245055	0.442169157	0.538058003	0.134428024	0.531406865	0.533910757	0.615575518	0.590503637	0.915606942	0.501108382	0.564614248	0.600759378	0.486120905	0.390478424	0.491376951	0.592795858	0.666732264	0.704522924	0.773376756	0.098922732	0.70595269	0.749267757
cg11456756	0.26951969	0.101430719	0.071190459	0.120616188	0.156372211	0.184677561	0.173229706	0.256987752	0.115930049	0.16496609	0.072589327	0.201378824	0.130549228	0.29525172	0.121837726	0.106666055	0.08753408	0.117128973	0.162391113	0.230470826	0.056265742	0.059031799
cg14131834	0.707178218	0.775731497	0.550391164	0.399270369	0.670073162	0.693069307	0.714291104	0.755319149	0.667022919	0.566602173	0.748843713	0.7522026	0.726880338	0.768015031	0.791862504	0.732751466	0.569003943	0.813697318	0.714938708	0.734733651	0.813184974	0.70335178
cg09059319	0.123879711	0.088939963	0.113861548	0.09309322	0.092610696	0.093502062	0.119177555	0.099554859	0.0805335	0.115728151	0.09881101	0.108020066	0.12221474	0.22724249	0.1049707	0.11362537	0.262915353	0.142915969	0.099649247	0.074183894	0.289391784	0.09408278
cg10804656	0.406141932	0.125696209	0.20960587	0.496775682	0.391293806	0.466946234	0.480327192	0.19251472	0.21007548	0.070847717	0.419816625	0.587195715	0.394623546	0.356400415	0.284050708	0.4741771	0.387773609	0.437989556	0.247126114	0.35807699	0.478239567	0.094653117
cg24358846	0.280294622	0.402188702	0.502092634	0.350888862	0.266889472	0.412138291	0.304163465	0.137574208	0.250541963	0.291167966	0.368208071	0.360820519	0.325932504	0.047734713	0.126650031	0.395246052	0.548738448	0.11671813	0.516779097	0.23275895	0.345223786	0.065285329
